MPN,Price
1489-M1D010,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/1489-M1D010 (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB1D62E70>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"
1489-M1D020,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/1489-M1D020 (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2B7FE00>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
1489-M1D030,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/1489-M1D030 (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2A0F290>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
1489-M1D040,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/1489-M1D040 (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2A0C5F0>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
1489-M1D050,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/1489-M1D050 (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2A0EBA0>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
1489-M1D600,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/1489-M1D600 (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB1D2C560>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"
1492-J10-G,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/1492-J10-G (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
1492-N90,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/1492-N90 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
1492-SPM1B080,N/A
1492-SPM2C320,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/1492-SPM2C320 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
150-C108NBR,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/150-C108NBR (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2BAACC0>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
150-C19NCR,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/150-C19NCR (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
150-FPP317B,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/150-FPP317B (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
156-C3P20NCB,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/156-C3P20NCB (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
1606-XLB90E,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/1606-XLB90E (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB1D2F020>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
1734-AENTR,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/1734-AENTR (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2A0CAA0>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
1734-IB8,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/1734-IB8 (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2A0D1C0>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
1734-IB8S,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/1734-IB8S (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
1734-IE2C,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/1734-IE2C (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)')))"
1734-OB8,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/1734-OB8 (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB29EA780>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
1734-TBS,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/1734-TBS (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB1D60A40>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"
1769-L16ER-BB1B,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/1769-L16ER-BB1B (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
1794-IB10XOB6XT,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/1794-IB10XOB6XT (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB1D61640>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
1794-OB8EP,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/1794-OB8EP (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
193-1EEEB,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/193-1EEEB (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2BAA960>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"
193-1EEFD,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/193-1EEFD (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2B7F7D0>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
